"sale_id,date_id,product_id,region_id,channel_id,quantity,revenue,cost"
"1,20230101,1,1,1,18000,17100,10260"
"2,20230101,1,1,2,4500,5400,3240"
"3,20230101,1,1,3,7200,5400,3780"
"4,20230101,1,2,1,17500,16625,9975"
"5,20230101,1,2,2,4300,5160,3096"
"6,20230101,1,2,3,7000,5250,3675"
"7,20230101,2,1,1,6200,5890,3534"
"8,20230101,2,1,2,1600,1920,1152"
"9,20230101,2,1,3,2800,2100,1470"
"10,20230101,2,2,1,6000,5700,3420"
"11,20230101,2,2,2,1500,1800,1080"
"12,20230101,2,2,3,2600,1950,1365"
"13,20230101,3,1,1,7400,7030,4218"
"14,20230101,3,1,3,3500,2625,1838"
"15,20230101,3,2,1,7200,6840,4104"
"16,20230101,3,2,3,3400,2550,1785"
"17,20230101,4,1,1,9000,8550,5130"
"18,20230101,4,1,3,5200,3900,2730"
"19,20230101,4,2,1,8800,8360,5016"
"20,20230101,4,2,3,5000,3750,2625"
"21,20230101,5,1,1,5200,4940,2964"
"22,20230101,5,1,2,1200,1440,864"
"23,20230101,5,2,1,5000,4750,2850"
"24,20230101,5,2,2,1100,1320,792"

"25,20230201,1,1,1,18500,24050,14430"
"26,20230201,1,1,2,4700,7050,4230"
"27,20230201,1,1,3,7500,8250,5775"
"28,20230201,1,2,1,18000,23400,14040"
"29,20230201,1,2,2,4500,6750,4050"
"30,20230201,1,2,3,7300,8030,5621"
"31,20230201,2,1,1,6400,16000,9600"
"32,20230201,2,1,2,1700,5100,3060"
"33,20230201,2,1,3,2900,7250,5075"
"34,20230201,2,2,1,6200,15500,9300"
"35,20230201,2,2,2,1600,4800,2880"
"36,20230201,2,2,3,2800,7000,4900"
"37,20230201,3,1,1,7600,22800,13680"
"38,20230201,3,1,3,3700,11100,7770"
"39,20230201,3,2,1,7400,22200,13320"
"40,20230201,3,2,3,3600,10800,7560"
"41,20230201,4,1,1,9300,23250,16275"
"42,20230201,4,1,3,5400,13500,10125"
"43,20230201,4,2,1,9100,22750,15925"
"44,20230201,4,2,3,5200,13000,9750"
"45,20230201,5,1,1,5400,13500,8100"
"46,20230201,5,1,2,1300,3900,2340"
"47,20230201,5,2,1,5200,13000,7800"
"48,20230201,5,2,2,1200,3600,2160"

"49,20230701,1,1,1,22000,28600,17160"
"50,20230701,1,1,2,5800,8700,5220"
"51,20230701,1,1,3,8400,9240,6468"
"52,20230701,1,2,1,21500,27950,16770"
"53,20230701,1,2,2,5600,8400,5040"
"54,20230701,1,2,3,8200,9020,6314"
"55,20230701,2,1,1,7600,19000,11400"
"56,20230701,2,1,2,2100,6300,3780"
"57,20230701,2,1,3,3200,8000,5600"
"58,20230701,2,2,1,7400,18500,11100"
"59,20230701,2,2,2,2000,6000,3600"
"60,20230701,2,2,3,3000,7500,5250"
"61,20230701,3,1,1,7800,23400,14040"
"62,20230701,3,1,3,4200,12600,8820"
"63,20230701,3,2,1,7600,22800,13680"
"64,20230701,3,2,3,4000,12000,8400"
"65,20230701,4,1,1,9800,24500,17150"
"66,20230701,4,1,3,6000,15000,11250"
"67,20230701,4,2,1,9600,24000,16800"
"68,20230701,4,2,3,5800,14500,10875"
"69,20230701,5,1,1,5900,14750,8850"
"70,20230701,5,1,2,1700,5100,3060"
"71,20230701,5,2,1,5700,14250,8550"
"72,20230701,5,2,2,1600,4800,2880"

"73,20240101,1,1,1,19000,18050,10830"
"74,20240101,1,1,2,4800,5760,3456"
"75,20240101,1,1,3,7600,5700,3990"
"76,20240101,1,2,1,18500,17575,10545"
"77,20240101,1,2,2,4600,5520,3312"
"78,20240101,1,2,3,7400,5550,3885"
"79,20240101,2,1,1,6700,6365,3819"
"80,20240101,2,1,2,1800,2160,1296"
"81,20240101,2,1,3,2900,2175,1523"
"82,20240101,2,2,1,6500,6175,3705"
"83,20240101,2,2,2,1700,2040,1224"
"84,20240101,2,2,3,2800,2100,1470"
"85,20240101,3,1,1,8000,7600,4560"
"86,20240101,3,1,3,4100,3075,2153"
"87,20240101,3,2,1,7800,7410,4446"
"88,20240101,3,2,3,4000,3000,2100"
"89,20240101,4,1,1,10200,9690,5814"
"90,20240101,4,1,3,6100,4575,3203"
"91,20240101,4,2,1,10000,9500,5700"
"92,20240101,4,2,3,6000,4500,3150"
"93,20240101,5,1,1,5800,5510,3306"
"94,20240101,5,1,2,1600,1920,1152"
"95,20240101,5,2,1,5600,5320,3192"
"96,20240101,5,2,2,1500,1800,1080"

"97,20240701,1,1,1,23000,29900,17940"
"98,20240701,1,1,2,6100,9150,5490"
"99,20240701,1,1,3,8800,9680,6776"
"100,20240701,1,2,1,22500,29250,17550"
"101,20240701,1,2,2,5900,8850,5310"
"102,20240701,1,2,3,8600,9460,6622"
"103,20240701,2,1,1,7800,19500,11700"
"104,20240701,2,1,2,2300,6900,4140"
"105,20240701,2,1,3,3500,8750,6125"
"106,20240701,2,2,1,7600,19000,11400"
"107,20240701,2,2,2,2200,6600,3960"
"108,20240701,2,2,3,3300,8250,5775"
"109,20240701,3,1,1,8200,24600,14760"
"110,20240701,3,1,3,4500,13500,9450"
"111,20240701,3,2,1,8000,24000,14400"
"112,20240701,3,2,3,4300,12900,9030"
"113,20240701,4,1,1,10000,25000,17500"
"114,20240701,4,1,3,6300,15750,11813"
"115,20240701,4,2,1,9800,24500,17150"
"116,20240701,4,2,3,6100,15250,11438"
"117,20240701,5,1,1,6100,15250,9150"
"118,20240701,5,1,2,1900,5700,3420"
"119,20240701,5,2,1,5900,14750,8850"
"120,20240701,5,2,2,1800,5400,3240"

"121,20231201,1,1,1,20500,26650,15990"
"122,20231201,1,1,2,5000,7500,4500"
"123,20231201,1,1,3,7800,8580,6006"
"124,20231201,1,2,1,20000,26000,15600"
"125,20231201,1,2,2,4800,7200,4320"
"126,20231201,1,2,3,7600,8360,5852"
"127,20231201,2,1,1,7200,18000,10800"
"128,20231201,2,1,2,1900,5700,3420"
"129,20231201,2,1,3,3000,7500,5250"
"130,20231201,2,2,1,7000,17500,10500"
"131,20231201,2,2,2,1800,5400,3240"
"132,20231201,2,2,3,2900,7250,5075"
"133,20231201,3,1,1,9800,29400,17640"
"134,20231201,3,1,3,5200,15600,10920"
"135,20231201,3,2,1,9600,28800,17280"
"136,20231201,3,2,3,5000,15000,10500"
"137,20231201,4,1,1,13500,33750,23625"
"138,20231201,4,1,3,7600,19000,14250"
"139,20231201,4,2,1,13200,33000,23100"
"140,20231201,4,2,3,7400,18500,13875"
"141,20231201,5,1,1,6900,17250,10350"
"142,20231201,5,1,2,2200,6600,3960"
"143,20231201,5,2,1,6700,16750,10050"
"144,20231201,5,2,2,2100,6300,3780"

"145,20241201,1,1,1,21500,27950,16770"
"146,20241201,1,1,2,5200,7800,4680"
"147,20241201,1,1,3,8000,8800,6160"
"148,20241201,1,2,1,21000,27300,16380"
"149,20241201,1,2,2,5000,7500,4500"
"150,20241201,1,2,3,7800,8580,6006"
"151,20241201,2,1,1,7500,18750,11250"
"152,20241201,2,1,2,2100,6300,3780"
"153,20241201,2,1,3,3300,8250,5775"
"154,20241201,2,2,1,7300,18250,10950"
"155,20241201,2,2,2,2000,6000,3600"
"156,20241201,2,2,3,3200,8000,5600"
"157,20241201,3,1,1,10200,30600,18360"
"158,20241201,3,1,3,5500,16500,11550"
"159,20241201,3,2,1,10000,30000,18000"
"160,20241201,3,2,3,5300,15900,11130"
"161,20241201,4,1,1,14000,35000,24500"
"162,20241201,4,1,3,7900,19750,14813"
"163,20241201,4,2,1,13700,34250,23975"
"164,20241201,4,2,3,7700,19250,14438"
"165,20241201,5,1,1,7200,18000,10800"
"166,20241201,5,1,2,2400,7200,4320"
"167,20241201,5,2,1,7000,17500,10500"
"168,20241201,5,2,2,2300,6900,4140"
